ID, smoke_yrs,cigar_day, person_yrs,case,rate
1,   15-19  ,   0.0,    10366 ,  1 , 0.0001
2,   20-24  ,   0.0,     8162 ,  0 , 0.0000
3,   25-29  ,   0.0,     5969 ,  0 , 0.0000
4,   30-34  ,   0.0,     4496 ,  0 , 0.0000
5,   35-39  ,   0.0,     3512 ,  0 , 0.0000
6,   40-44  ,   0.0,     2201 ,  0 , 0.0000
7,   45-49  ,   0.0,     1421 ,  0 , 0.0000
8,   50-54  ,   0.0,     1121 ,  0 , 0.0000
9,   55-59  ,   0.0,      826 ,  2 , 0.0024
10,   15-19  ,   5.2,     3121 ,  0 , 0.0000
11,   20-24  ,   5.2,     2937 ,  0 , 0.0000
12,   25-29  ,   5.2,     2288 ,  0 , 0.0000
13,   30-34  ,   5.2,     2015 ,  0 , 0.0000
14,   35-39  ,   5.2,     1648 ,  1 , 0.0006
15,   40-44  ,   5.2,     1310 ,  2 , 0.0015
16,   45-49  ,   5.2,      927 ,  0 , 0.0000
17,   50-54  ,   5.2,      710 ,  3 , 0.0042
18,   55-59  ,   5.2,      606 ,  0 , 0.0000
19,   15-19  ,  11.2,     3577 ,  0 , 0.0000
20,   20-24  ,  11.2,     3286 ,  1 , 0.0003
21,   25-29  ,  11.2,     2546 ,  1 , 0.0004
22,   30-34  ,  11.2,     2219 ,  2 , 0.0009
23,   35-39  ,  11.2,     1826 ,  0 , 0.0000
24,   40-44  ,  11.2,     1386 ,  1 , 0.0007
25,   45-49  ,  11.2,      988 ,  2 , 0.0020
26,   50-54  ,  11.2,      684 ,  4 , 0.0058
27,   55-59  ,  11.2,      449 ,  3 , 0.0067
28,   15-19  ,  15.9,     4317 ,  0 , 0.0000
29,   20-24  ,  15.9,     4214 ,  0 , 0.0000
30,   25-29  ,  15.9,     3185 ,  0 , 0.0000
31,   30-34  ,  15.9,     2560 ,  4 , 0.0016
32,   35-39  ,  15.9,     1893 ,  0 , 0.0000
33,   40-44  ,  15.9,     1334 ,  2 , 0.0015
34,   45-49  ,  15.9,      849 ,  2 , 0.0024
35,   50-54  ,  15.9,      470 ,  2 , 0.0043
36,   55-59  ,  15.9,      280 ,  5 , 0.0179
37,   15-19  ,  20.4,     5683 ,  0 , 0.0000
38,   20-24  ,  20.4,     6385 ,  1 , 0.0002
39,   25-29  ,  20.4,     5483 ,  1 , 0.0002
40,   30-34  ,  20.4,     4687 ,  6 , 0.0013
41,   35-39  ,  20.4,     3646 ,  5 , 0.0014
42,   40-44  ,  20.4,     2411 , 12 , 0.0050
43,   45-49  ,  20.4,     1567 ,  9 , 0.0057
44,   50-54  ,  20.4,      857 ,  7 , 0.0082
45,   55-59  ,  20.4,      416 ,  7 , 0.0168
46,   15-19  ,  27.4,     3042 ,  0 , 0.0000
47,   20-24  ,  27.4,     4050 ,  1 , 0.0002
48,   25-29  ,  27.4,     4290 ,  4 , 0.0009
49,   30-34  ,  27.4,     4268 ,  9 , 0.0021
50,   35-39  ,  27.4,     3529 ,  9 , 0.0026
51,   40-44  ,  27.4,     2424 , 11 , 0.0045
52,   45-49  ,  27.4,     1409 , 10 , 0.0071
53,   50-54  ,  27.4,      663 ,  5 , 0.0075
54,   55-59  ,  27.4,      284 ,  3 , 0.0106
55,   15-19  ,  40.8,      670 ,  0 , 0.0000
56,   20-24  ,  40.8,     1166 ,  0 , 0.0000
57,   25-29  ,  40.8,     1482 ,  0 , 0.0000
58,   30-34  ,  40.8,     1580 ,  4 , 0.0025
59,   35-39  ,  40.8,     1336 ,  6 , 0.0045
60,   40-44  ,  40.8,      924 , 10 , 0.0108
61,   45-49  ,  40.8,      556 ,  7 , 0.0126
62,   50-54  ,  40.8,      255 ,  4 , 0.0157
63,   55-59  ,  40.8,      104 ,  1 , 0.0096
